"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","M01_Cart Management","7","0","C01_Cart items","0"
"0","","0","M04_User Management","3","0","C04_Register","0"
"0","","0","M04_User Management","3","0","C05_Login","0"
"0","","0","M02_Order Management","4","0","C02_Orders","0"
"0","","0","M04_User Management","1","0","C06_Delete","0"
"0","","0","M03_Product Management","3","0","C03_View products","0"
